Faixa etária,Nivel de escolaridade,"Sabe o que é lixo tóxico e químico? (Exemplo: lâmpadas, óleo de cozinha, remédios vencidos, pilhas e entre outros) ",Resposta – Sabe o que é lixo tóxico e químico?,Onde você faz o descarte desse tipo de lixo?,"Você realiza a separação de lixo tóxico, químico e comum?","Resposta – Você realiza a separação de lixo tóxico, químico e comum?",Onde você acha que é o local ideal para realizar o descarte dentro da comunidade?,Resposta – Onde você acha que é o local ideal para realizar o descarte dentro da comunidade?,Sabe como o descarte incorreto desses lixos pode afetar o meio ambiente e sua família?,Resposta – Sabe como o descarte incorreto desses lixos pode afetar o meio ambiente e sua família?,Tem algum incentivo de órgãos governamentais para o descarte desse tipo de lixo?,Respostas – Tem algum incentivo de órgãos governamentais para o descarte desse tipo de lixo?,Porque você acha importante o desenvolvimento desse projeto na comunidade?,Respostas – Porque você acha importante o desenvolvimento desse projeto na comunidade?
51 ou mais,Ensino fundamental incompleto,"Sim - químico : resíduos de posto de gasolina
tóxico : resíduos hospitalares
",Conhecimento específico,Separam e deixam na frente da casa para os coletores,Separa sim, Realiza separação,Acha ideal descartar na frente da casa, Descarte em locais inadequados,"Sim, sabe que futuramente pode ocasionar a morte de milhares de pessoas", Saúde humana,"Não, não existe nenhum incentivo para o descarte corretamente",Não há incentivo,Pela facilidade que iria ter na vida dentro de casa, Educação
Entre 31 a 50 anos,Ensino médio incompleto,Não sabe,Desconhecimento,"Remédio deixa nas farmácias, óleo o homem usa pra fazer sabão, e pilha e lâmpada no mercado ",Realiza, Realiza separação,"Não tem local ideal, somente os pontos que ela comentou que não são próprios ", Locais específicos para descarte de resíduos,Pode afetar bastante, Impactos ambientais,"Não tem incentivo do governo, vai de cada pessoa",Não há incentivo,Acha super importante , Meio ambiente
Entre 31 a 50 anos,Ensino médio completo,Não tem conhecimento sobre ,Desconhecimento,"O carro passa pegar óleo, não joga remédio fora",Separa do lixo reciclável , Realiza separação,Posto de saúde e locais de coleta, Coleta pela prefeitura ou caminhão de lixo,Não sabe como pode afetar, Desconhecimento,Nenhum incentivo de prefeitura ou órgão público ,Não há incentivo,Melhorar a comunidade , Conscientização
Entre 31 a 50 anos,Ensino médio completo,Não sabe a diferença ,Desconhecimento,Não sabe também ,Separa no lixo reciclado , Realiza separação,Não sabe onde descartar. Coloca sempre no lixo reciclado, Reciclagem e reutilização de resíduos,Mais ou menos , Desconhecimento,Não ,Não há incentivo,Para melhorar a qualidade de vida na comunidade , Local de descarte
Entre 31 a 50 anos,Ensino médio completo,Não sabe ,Desconhecimento,Lixo comum,É feita a devida separação , Realiza separação,"Não há um local específico, porém é feita a separação e a coleta ", Reciclagem e reutilização de resíduos,Sabe q pode causar danos ao meio ambiente onde vive e a sua própria saúde ," Saúde humana, Impactos ambientais",Não há ,Não há incentivo,Importante para manter a comunidade limpa e para chamar a atenção do governo , Meio ambiente e saúde pública
51 ou mais,Ensino fundamental incompleto,Lixo de hospital etc.. plastico etc,Conhecimento específico,Dentro de caixa de papelao e sacola plastica e escreve oq tem dentro,Separa sim o lixo reciclavel do resto, Realiza separação,Em um local que teria como reaproveitar, Reciclagem e reutilização de resíduos,Sabe que pode prejudicar e contaminar ate para o consumo," Saúde humana, Impactos ambientais",Nao teve ninguem falando sobre aqui,Não há incentivo,É bom pra conscientizar ate nas escolas e separar e precaver o perigo, Educação
Entre 31 a 50 anos,Ensino médio completo,"Sim, ",Conhecimento amplo,Separa e leva no supermercado ,"Sim, lixo comum, orgânico", Realiza separação,Não tem lugar apenas o mercado , Descarte em locais inadequados,"Sim, pilha jogada no mar demora a se decompor e", Impactos ambientais,Nao,Não há incentivo,Pra todos terem ciência o que o lixo pode causar das pessoas. Se As pessoas na comunidade pensassem em descartar corretamente não teria lixos jogados na rua , Conscientização
51 ou mais,Ensino fundamental incompleto,Lixos que fazem mal pra saúde e o químico faz mal a natura ,Conhecimento amplo,Não realiza ,"Sim,constantemente.", Realiza separação,Procuraria local fora da comunidade , Locais específicos para descarte de resíduos,Saúde do meio ambiente e família.," Saúde humana, Impactos ambientais",Sim ‘em Toledo-pr existe alguns órgãos .,Tem incentivo,"Antônio Braga ,pelo cuidado da natureza e saúde social .", Meio ambiente e saúde pública
Entre 21 a 25 anos,Ensino fundamental incompleto,Não ,Desconhecimento,Lixo comum,Não , Não realiza a separação,Local de fácil acesso , Locais específicos para descarte de resíduos,Não , Desconhecimento,Não ,Não há incentivo,Importante para evitar acidentes e contaminações , Educação
Entre 31 a 50 anos,Ensino médio completo,"Sim, bateria, lâmpada",Conhecimento específico,"Coloca sacola, e um carro passa pegar as vezes.",Faz separação dos lixos recicláveis do comum, Realiza separação,Carro de coleta com frequência, Coleta pela prefeitura ou caminhão de lixo,"Na poluição da natureza, jogar lâmpada em lugar errado, ou rios", Impactos ambientais ,"Não tem incentivo do governo, poderia ter uma coleta do governo, poucos lugares aceitam coleta",Não há incentivo,"Incentivar, a separação do lixo.", Conscientização
Entre 15 a 20 anos,Ensino médio incompleto,"Sim, bateria, óleo, lâmpada",Conhecimento específico,Mãe faz a separação em Curitiba,"Não, costuma separar", Não realiza a separação,"Teria que ter, mais locais, como no mercado", Locais específicos para descarte de resíduos,Não, Desconhecimento ,Não,Não há incentivo,"Porque prejudica o meio ambiente, com o descarte errado", Meio ambiente
Entre 31 a 50 anos,Ensino médio completo,Não,Desconhecimento,Não faz a separação.,"Não, joga tudo no lixo comum", Não realiza a separação,"Em um mercado, ou local separado só Iara o lixo.", Locais específicos para descarte de resíduos,"Afeta a Natureza, o meio ambiente", Impactos ambientais ,Não tem incentivo do governo,Não há incentivo,A educar as pessoas sobre o descarte incorreto, Conscientização
Entre 15 a 20 anos,Ensino fundamental incompleto,Não sabe.,Desconhecimento,Não faz a separação,Joga todo no comum., Não realiza a separação,Não sabe., Falta de opções ou informações sobre descarte,Não sabe., Desconhecimento ,Não sabe.,Não há incentivo,Não sabe., Conscientização
Entre 31 a 50 anos,Ensino médio completo,Sabe alguns ,Conhecimento amplo,A separação é feita no comércio ,Sim , Realiza separação,Somente o caminhão de lixo que recolhe , Coleta pela prefeitura ou caminhão de lixo,Sim ,Conhecimento genérico,"Sim, separação dos lixos para os catadores da região ",Não há incentivo,"Sim, a limpeza e organização é fundamental para a boa convivência da comunidade. ", Qualidade de vida
51 ou mais,Ensino fundamental completo,sim,Conhecimento amplo,usa pouco porem separa para quando o “pessoal” da reciclagem passa,"sim, separa", Realiza separação,separar para o “pessoal” da reciclagem pegar, Reciclagem e reutilização de resíduos,pode e afeta o meio ambiente,Impactos ambientais,nao,Não há incentivo,sim, Meio ambiente
Entre 31 a 50 anos,Ensino fundamental incompleto,Sim,Conhecimento amplo,Na estrada da rua (junto ao lixo comum ),Não , Não realiza a separação,No colégio , Reciclagem e reutilização de resíduos,Não ,Desconhecimento,Não ,Não há incentivo,Acho que sim , Local de descarte
51 ou mais,Ensino fundamental incompleto,não,Desconhecimento,faz sabão com restos de óleo de cozinha,sim, Realiza separação,separa em uma sacola e manda pro posto para reciclarem, Reciclagem e reutilização de resíduos,não,Conhecimento genérico,não ,Não há incentivo,pra ajudar a comunidade, Educação
Entre 31 a 50 anos,Ensino médio completo,Sim,Conhecimento amplo,Passa nas quartas feiras ,As vezes sim as vezes não , Realiza separação parcialmente,Escola , Reciclagem e reutilização de resíduos,Não ,Conhecimento genérico,Mal ,Não há incentivo,Sim , Local de descarte
Entre 31 a 50 anos,Ensino médio completo,"Sim, remédios e lâmpadas ",Conhecimento específico,Coloco em uma caixa de leite e coloco fita,Não , Não realiza a separação,No caminhão de lixo , Coleta pela prefeitura ou caminhão de lixo,Poluição dos rios e água , Impactos ambientais ,Não ,Não há incentivo,Para sabermos descartar corretamente , Meio ambiente
Entre 31 a 50 anos,Ensino fundamental completo,"Não, só reciclável e orgânico ",Desconhecimento,Jogo no lixo normal ,Não , Não realiza a separação,Não tenho conhecimento descarto no lixo normal , Descarte em locais inadequados,Não , Desconhecimento ,Acho que nao ,Não há incentivo,Para não poluir o ambiente , Educação
51 ou mais,Ensino fundamental completo,Um pouco,Conhecimento amplo,Nas quartas passam caminhões de reciclável. Separação dos lixo,Sempre realiza separação , Realiza separação,"Separação de lixo tóxico no local adequado, levado pelos moradores ", Locais específicos para descarte de resíduos,"Sabe dos impactos, prejudicial a terra.", Impactos ambientais ,Aqui na rua não há incentivo. A iniciativa é dos moradores,Não há incentivo,"Muito importante, o correto seria que ocorresse mais principalmente pela prefeitura ", Meio ambiente
Entre 21 a 25 anos,Ensino superior,Sabe e conhece.,Conhecimento específico,"Não sabe dizer, comentou que depende do lixo.","Realiza, quando tem ", Realiza separação parcialmente,Comentou que não ha local ideal na comunidade., Locais específicos para descarte de resíduos,"Sabe, comentou que pode afetar muito o solo, os animais e as pessoas.", Impactos ambientais ,"Que conheça e saiba, não tem",Não há incentivo,"Pra não acontecer de pessoas se machucarem, os animais, e o meio ambiente. Comentou que é bom para melhorar a qualidade de vida.", Qualidade de vida
Entre 31 a 50 anos,Ensino fundamental incompleto,"Sim
Lâmpadas ",Conhecimento específico,Em caixa de papelão e identifica ,"Sim
Só lixo comum e reciclável ", Realiza separação parcialmente,Deixa na ligeira de coleta de casa mesmo , Falta de opções ou informações sobre descarte,"Entrevistado fala sobre poluição, sem conhecimento específico ", Impactos ambientais ,Não ,Não há incentivo,"Comenta que tem lugares com muito lixo no meio ambiente
Seria bom, para manter mais limpos ", Meio ambiente
51 ou mais,Ensino superior,"Sim, e sabe a diferenciação de ambos",Conhecimento específico,"A moça comentou que as pilhas, baterias e lâmpadas são descartadas em lojas, as quais são adquiridos esses objetos, como por ex. A Leroy merlin. No caso do óleo usa instituição passa em sua comunidade afim de recicla-lo.","Sim, realiza a separação.", Realiza separação,Comentou que acredita que os locais em que descarta o lixo estão corretos., Locais específicos para descarte de resíduos,"Sabe, pois pode retornar através do solo, da água ou da própria ingestão. ", Impactos ambientais ,Desconhece se tem incentivos do governo.,Não há incentivo,Comentou que é importante principalmente para que o descarte desses lixos seja mais acessível para as pessoas., Local de descarte
51 ou mais,Ensino médio completo,"Lixo de hospital, que fazem para a saúde. Lâmpada, pilha e remédios ",Conhecimento específico,Lâmpadas e pilhas tem caminhão/terminais de ônibus ,"Sim, descarte uma vez por semana", Realiza separação parcialmente,"Caminhão de lixo que não é lixo - passa uma vez por semana. Seria bom que tivesse um posto para o descarte, pois as vezes o caminhão não leva/não vê ", Coleta pela prefeitura ou caminhão de lixo,"Imagino que sim, afetam os rios, contaminação de água ", Impactos ambientais ,Não ,Não há incentivo,"Siim, com certeza. Daqui um tempo não teremos água potável, os bueiros estarão entupidos. Cada um descarta de uma forma", Conscientização
Entre 26 a 30 anos,Ensino médio completo,"Sabe superficialmente, não a fundo.",Conhecimento amplo,"Na lixeira, separando o orgânico do reciclado",Somente do lixo orgânico e reciclado, Realiza separação parcialmente,Nao sabe pois não tem o incentivo dos órgãos , Falta de opções ou informações sobre descarte,Nao, Desconhecimento ,Nao,Não há incentivo,Conhecimento , Conscientização
51 ou mais,Ensino fundamental incompleto,"Sim, remédios",Conhecimento específico,Não tem lugar para descarte ,Espera passar o lixo que não é lixo , Realiza separação parcialmente,Acho que seria ideal alguma lugar mais adequado para o descarte o lixo não passa com muita frequência , Locais específicos para descarte de resíduos,Poluindo os rios , Impactos ambientais ,Não ,Não há incentivo,Sim para parar a poluição , Local de descarte
Entre 31 a 50 anos,Ensino fundamental incompleto,Não sabe,Desconhecimento,Óleo de cozinha passa um carro pegar e reciclável também ,"Sim. terça, quinta e sábado lixo orgânico e quarta reciclável, mas lixo tóxico e químico não tem na comunidade ", Realiza separação parcialmente,"Não tem, ele descarta na lixeira", Descarte em locais inadequados,"Sim, principalmente do óleo de cozinha",Conhecimento genérico,Não tem,Não há incentivo,Ele acha importante pra conscientização da comunidade , Meio ambiente
51 ou mais,Ensino fundamental completo,"Entrevistado cita 
Lixo hospitalar, pilha e lâmpadas ",Conhecimento específico,"Medição leva no posto de saúde
E os outros,  no lixo reciclável ",Separa reciclável é comum , Realiza separação parcialmente,Relata que na comunidade não tem , Falta de opções ou informações sobre descarte,"Entrevistado comenta sobre poluição dos rios e enchentes, e meio ambiente ", Impactos ambientais ,"Não
Comenta que o caminhão que recolhe o lixo, passa uma vez por semana na comunidade ",Não há incentivo,Ter um local mais viável para depositar os lixos , Educação
Entre 21 a 25 anos,Ensino médio completo,"Sim, vagamente ",Conhecimento amplo,"Mesmo lixo do normal, porém saco de lixo separados ",Sim, Realiza separação,Não tem, Falta de opções ou informações sobre descarte,"Sim, como degradação do solo ", Impactos ambientais ,Pouco. Uma vez por mês passa o caminhão de reciclável e o carro para recolher olho usado,Não há incentivo,Importante para melhorar o meio ambiente e a população (saúde) , Qualidade de vida
51 ou mais,Ensino fundamental incompleto,Sim,Conhecimento amplo,"Mesmo lixo, separada em sacolas. Remédio vencido no posto de saúde, óleo ela aproveita para fazer sabão ","Sim, mas as sacolas são levadas pelo mesmo caminhão ", Realiza separação parcialmente,"Buraco, enterrar ", Descarte em locais inadequados,Sim,Conhecimento genérico,Não ,Não há incentivo,"Para ensinar todos, melhorar o aprendizado sobre lixo ", Educação
Entre 26 a 30 anos,Ensino médio completo,Sim,Conhecimento amplo,Em casa (separando dos outros lixos),Não , Não realiza a separação,Não tem, Falta de opções ou informações sobre descarte,"Sim, com poluição ", Impactos ambientais ,Não ,Não há incentivo,Sim, Meio ambiente
51 ou mais,Ensino fundamental incompleto,Sim,Conhecimento amplo,No posto de gasolina,Sim, Realiza separação,Não sabe, Falta de opções ou informações sobre descarte,Sim,Conhecimento genérico,Sim,Não há incentivo,"Mais limpeza no ambiente, mais entendimento das pessoas", Conscientização
Entre 26 a 30 anos,Ensino fundamental incompleto,Não ,Desconhecimento,Tudo junto,Não , Não realiza a separação,Não sabe, Falta de opções ou informações sobre descarte,"Não tem relação, não afeta", Desconhecimento ,Não ,Não há incentivo,Não acha , Meio ambiente
Entre 31 a 50 anos,Ensino superior,"Sim, mas não sabe diferenciar ",Conhecimento amplo,No posto de gasolina,Não , Não realiza a separação,No posto de gasolina , Locais específicos para descarte de resíduos,Não sabe, Desconhecimento ,"Sim, mas muito pouco",Não há incentivo,Acha que sim, Educação
Entre 31 a 50 anos,Ensino fundamental completo,Não sabe a diferença entre eles (toxico e quimico),Desconhecimento,Descarta da maneira que ela acha correto (não explicou com detalhes),Sim, Realiza separação,Em algum lugar que seja afastado do lixo comum, Locais específicos para descarte de resíduos,Sabe como pode afetar o meio ambiente somente, Impactos ambientais ,Nunca viu incentivo do governo na região,Não há incentivo,"Para que todos, inclusive ela, saibam os danos que o descarte incorreto pode causar", Local de descarte
Entre 31 a 50 anos,Ensino médio incompleto,Não sabe dizer mas recicla tudo o que pode e separa lixo que sabe que não é comum,Desconhecimento,Deixa na porta para a coleta,Sim, Realiza separação,Em lugares seguros e que não vao causar danos, Locais específicos para descarte de resíduos,Sabe tanto que pode afetar a saude quanto o meio ambiente, Saúde humana,O governo passa coletando os lixos mas não nunca viu incentivo.Ex: palestras,Não há incentivo,Para a proteçao do ambiente e da saude das pessoas , Educação
Entre 21 a 25 anos,Ensino fundamental incompleto,Nao sei,Desconhecimento,no lixo normal,nao, Não realiza a separação,material de contracto fica perto da minha casa, Descarte em locais inadequados,deve ser ruim sim,Conhecimento genérico,nao tem,Não há incentivo,pra gente separar certo o lixo, Local de descarte
51 ou mais,Ensino fundamental incompleto,sei sim,Conhecimento amplo,enterrando ,sim, Realiza separação parcialmente,no posto de combustível, Locais específicos para descarte de resíduos,deve fazer mal para a camada de ozônio , Impactos ambientais ,"nao tem nada aqui moça, so asfalto",Não há incentivo,deve ser sim, Local de descarte
Entre 31 a 50 anos,Ensino médio incompleto,sei sim,Conhecimento amplo,faço um buraco no quintal de casa ,sim, Realiza separação parcialmente,"algum lugar perto de casa, talvez o mercadinho do seu Jorge ", Locais específicos para descarte de resíduos,deve fazer mal para as plantas, Impactos ambientais ,nao tem,,sim, Meio ambiente
,,,,,,,,,,,,,, Educação
,,,,,,,,,,,,,,
